"drug_pair","AUC1","AUC2","Pairwise","LR1plus","LR1minus","LR2plus","LR2minus","Mean_error","AUC1_LOOCV","AUC2_LOOCV","Pairwise_LOOCV","LR1plus_LOOCV","LR1minus_LOOCV","LR2plus_LOOCV","LR2minus_LOOCV","Mean_error_LOOCV","AUC1_training","AUC2_training","Pairwise_training","LR1plus_training","LR1minus_training","LR2plus_training","LR2minus_training","Mean_error_training","Threshold1","Threshold2","Th1_ref","Th2_ref","Th1_changes","Th2_changes","Th_changes_overall","Normalized_logLik","number_of_drugs","Rank_score_LOOCV","tms_name","metrics_name"
"astemizole-azimilide-bepridil-cisapride-diltiazem-dofetilide-nitrendipine-ranolazine-risperidone-verapamil","0.958 (0.958 - 1   )","1    (1    - 1   )","0.955 (0.955 - 1   )","8.33e+05 (3.33 - 1e+06)","0.167 (1e-06 - 0.222)","1e+06 (7    - 1e+06)","1e-06 (1e-06 - 0.333)","0.121 (0.116 - 0.125)",0.958,1,0.955,3.33,0.222,7,0.333,0.125,1,1,0.364,4,1.33e-06,667000,1.17e-06,0.0114,23.0624668191809,-22.2593959380969,23.1862015959327,-22.261206485472,0.00533656952130997,8.13319518978781e-05,4.34033615606865e-07,-1.65300138636725e-06,10,0.8,"tms_metrics_10_1.csv","summary_tms_10_metrics.csv"
"azimilide-chlorpromazine-diltiazem-dofetilide-droperidol-nitrendipine-tamoxifen-vandetanib","0.933 (0.933 - 1   )","0.933 (0.867 - 1   )","0.889 (0.833 - 1   )","3    (2.4  - 1e+06)","0.2  (1e-06 - 0.3 )","5    (3.33 - 1e+06)","1.25e-06 (1e-06 - 0.417)","0.31 (0.303 - 0.317)",0.933,0.867,0.833,2.4,0.3,3.33,0.417,0.317,1,1,0.278,1e+06,1e-06,5,0.333,0.0142,7.16779142118368,-6.85325240400735,7.16779142505521,-6.85325239595028,5.40128933756046e-10,1.17565608797753e-09,6.35005869263107e-19,-2.21893969082113e-06,8,0.566666666666667,"tms_metrics_2_15.csv","summary_tms_8_metrics.csv"
"azimilide-bepridil-chlorpromazine-diltiazem-droperidol-nitrendipine-ondansetron-quinidine-ranolazine","0.778 (0.667 - 0.833)","1    (0.944 - 1   )","0.933 (0.933 - 1   )","2.5  (2.5  - 2.5 )","0.25 (0.25 - 0.25)","1e+06 (4    - 1e+06)","1e-06 (1e-06 - 0.4 )","0.278 (0.272 - 0.285)",0.667,0.944,0.933,2.5,0.25,4,0.4,0.285,0.943,0.944,0.333,2.5,0.25,6,0.333,0.126,9.91012442170183,-12.6994217677383,9.91012418798806,-12.6994233962038,2.35833345005619e-08,1.28231454195149e-07,3.02412527777768e-15,-1.38328102095781e-05,9,NA,"tms_metrics_2_16.csv","summary_tms_9_metrics.csv"
"azimilide-chlorpromazine-diltiazem-droperidol-loratadine-nitrendipine-ondansetron-quinidine-sotalol-tamoxifen","1    (0.958 - 1   )","1    (0.952 - 1   )","1    (0.92 - 1   )","1e+06 (3.33 - 1e+06)","1e-06 (1e-06 - 0.222)","1e+06 (7    - 1e+06)","1e-06 (1e-06 - 0.333)","0.0815 (0.0778 - 0.0853)",0.958,0.952,0.92,3.33,0.222,7,0.333,0.0853,1,1,0.32,4,0.167,7,0.333,0.0201,13.0597437500739,-9.73408590601498,13.059747726733,-9.73408723932381,3.04497391585507e-07,1.3697317454349e-07,4.17079743656792e-14,-2.73989498975842e-06,10,0.8,"tms_metrics_2_17.csv","summary_tms_10_metrics.csv"
"azimilide-bepridil-chlorpromazine-diltiazem-droperidol-loratadine-nitrendipine-ondansetron-sotalol-tamoxifen","1    (0.958 - 1   )","0.952 (0.857 - 1   )","1    (0.92 - 1   )","1e+06 (3.33 - 1e+06)","1e-06 (1e-06 - 0.222)","6.67e+05 (4.67 - 1e+06)","0.333 (1e-06 - 0.389)","0.148 (0.143 - 0.153)",0.958,0.857,0.92,3.33,0.222,4.67,0.389,0.153,1,0.905,0.32,833000,0.167,4.67,0.389,0.0586,9.79024711371464,-4.97379254736047,9.79024907057348,-4.97379313318428,1.99878351201494e-07,1.17782101774575e-07,2.35420923037487e-14,-7.45716678739992e-06,10,0.7,"tms_metrics_2_18.csv","summary_tms_10_metrics.csv"
"astemizole-azimilide-clozapine-diltiazem-metoprolol-quinidine-ranolazine-vandetanib","0.6  (0.6  - 0.667)","1    (0.865 - 1   )","0.842 (0.737 - 0.895)","2.4  (1.8  - 2.4 )","0.3  (0.3  - 0.6 )","1e+06 (5    - 1e+06)","1e-06 (1e-06 - 0.333)","0.347 (0.34 - 0.355)",0.6,0.865,0.737,1.8,0.6,5,0.333,0.355,0.867,1,0.474,2.4,0.3,1e+06,1e-06,0.238,2.25639560921637,-20.9063983471436,2.25639560785038,-20.9063983479805,6.05387037437984e-10,4.00326070698654e-11,2.42352213949447e-20,-2.94659282455267e-05,8,NA,"tms_metrics_2_2.csv","summary_tms_8_metrics.csv"
"azimilide-bepridil-clozapine-diltiazem-dofetilide-metoprolol-ondansetron-risperidone","1    (0.833 - 1   )","0.867 (0.733 - 1   )","1    (0.875 - 1   )","2    (2    - 1e+06)","2e-06 (1e-06 - 2e-06)","3.33 (3.33 - 6.67e+05)","0.417 (1.25e-06 - 0.417)","0.296 (0.289 - 0.303)",0.833,0.733,0.875,2,2e-06,3.33,0.417,0.303,1,0.933,0.312,1e+06,1e-06,3.33,0.417,0.0536,6.21330899089381,-3.38169136605784,6.21331356850662,-3.38169168766799,7.36742601960266e-07,9.51033316381098e-08,7.00666760061511e-14,-7.70381370105624e-06,8,NA,"tms_metrics_2_20.csv","summary_tms_8_metrics.csv"
"azimilide-chlorpromazine-dofetilide-mexiletine-tamoxifen-terfenadine-vandetanib-verapamil","0.933 (0.867 - 1   )","1    (1    - 1   )","0.923 (0.846 - 1   )","3    (2.4  - 3   )","1.5e-06 (1.5e-06 - 0.3 )","1e+06 (5    - 1e+06)","1e-06 (1e-06 - 1.25e-06)","0.159 (0.154 - 0.165)",0.867,1,0.846,2.4,0.3,5,1.25e-06,0.165,1,1,0.154,3,1.5e-06,1e+06,1e-06,0.0074,2.133445567536,-1.13570130612308,2.1393677734635,-1.1263041247425,0.00276820376606529,0.00834337828845845,2.3096171199818e-05,-1.19268224412683e-06,8,NA,"tms_metrics_2_34.csv","summary_tms_8_metrics.csv"
"astemizole-azimilide-clozapine-diltiazem-metoprolol-quinidine-ranolazine-vandetanib","0.6  (0.6  - 0.667)","1    (1    - 1   )","0.842 (0.789 - 0.895)","2.4  (1.8  - 2.4 )","0.3  (0.3  - 0.6 )","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.31 (0.303 - 0.318)",0.6,1,0.789,1.8,0.6,667000,0.333,0.318,0.867,1,0.474,2.4,0.3,1e+06,1e-06,0.237,2.95421069774246,-20.9970606239053,2.95421069644903,-20.9970606245305,4.37825999799766e-10,2.97743855652739e-11,1.30360001285398e-20,-2.70258260792724e-05,8,NA,"tms_metrics_2_4.csv","summary_tms_8_metrics.csv"
"astemizole-azimilide-clozapine-diltiazem-metoprolol-quinidine-ranolazine-vandetanib","0.6  (0.6  - 0.667)","1    (1    - 1   )","0.842 (0.789 - 0.895)","2.4  (1.8  - 2.4 )","0.3  (0.3  - 0.6 )","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.313 (0.306 - 0.321)",0.6,1,0.789,1.8,0.6,667000,0.333,0.321,0.867,1,0.474,2.4,0.3,1e+06,1e-06,0.237,2.98313904295853,-21.1588779021553,2.98313904205501,-21.1588779027619,3.02875565907646e-10,2.86710467220982e-11,8.68375950112007e-21,-2.70114007656867e-05,8,NA,"tms_metrics_2_5.csv","summary_tms_8_metrics.csv"
