"drug_pair","AUC1","AUC2","Pairwise","LR1plus","LR1minus","LR2plus","LR2minus","Mean_error","AUC1_LOOCV","AUC2_LOOCV","Pairwise_LOOCV","LR1plus_LOOCV","LR1minus_LOOCV","LR2plus_LOOCV","LR2minus_LOOCV","Mean_error_LOOCV","AUC1_training","AUC2_training","Pairwise_training","LR1plus_training","LR1minus_training","LR2plus_training","LR2minus_training","Mean_error_training","Threshold1","Threshold2","Th1_ref","Th2_ref","Th1_changes","Th2_changes","Th_changes_overall","Normalized_logLik","number_of_drugs","Rank_score_LOOCV","tms_name","metrics_name"
"astemizole-azimilide-bepridil-cisapride-diltiazem-dofetilide-nitrendipine-ranolazine-risperidone-verapamil","1    (0.958 - 1   )","1    (0.667 - 1   )","1    (0.955 - 1   )","8.33e+05 (3.33 - 1e+06)","0.167 (1e-06 - 0.222)","1e+06 (4.67 - 1e+06)","1e-06 (1e-06 - 0.389)","0.113 (0.109 - 0.118)",0.958,0.667,0.955,3.33,0.222,4.67,0.389,0.118,1,0.905,0.364,4,1.33e-06,7,0.333,0.0315,18.4544082893936,-18.9688324944818,18.4544082597882,-18.9688324533515,1.60424594831598e-09,2.16830891461204e-09,3.47850079096377e-18,-6.01768732942227e-06,10,NA,"tms_metrics_10_1.csv","summary_tms_10_metrics.csv"
"azimilide-chlorpromazine-diltiazem-dofetilide-droperidol-nitrendipine-tamoxifen-vandetanib","0.8  (0.733 - 0.867)","1    (0.933 - 1   )","0.944 (0.833 - 0.944)","2.4  (2.4  - 2.4 )","0.3  (0.3  - 0.3 )","5    (5    - 1e+06)","1.25e-06 (1e-06 - 1.25e-06)","0.315 (0.308 - 0.322)",0.733,0.933,0.833,2.4,0.3,5,1.25e-06,0.322,0.933,1,0.278,2.4,0.3,1e+06,1e-06,0.0596,7.90351920279215,-8.24776082371678,7.90351914337543,-8.24776088854477,7.5177555460634e-09,7.86007082821622e-09,5.90900910612736e-17,-8.14502173644633e-06,8,NA,"tms_metrics_2_15.csv","summary_tms_8_metrics.csv"
"azimilide-bepridil-chlorpromazine-diltiazem-droperidol-nitrendipine-ondansetron-quinidine-ranolazine","0.722 (0.667 - 0.833)","1    (0.889 - 1   )","0.933 (0.867 - 0.933)","2.5  (2.5  - 2.5 )","0.25 (0.25 - 0.25)","6.67e+05 (6.67e+05 - 1e+06)","0.333 (1e-06 - 0.333)","0.289 (0.282 - 0.295)",0.667,0.889,0.867,2.5,0.25,667000,0.333,0.295,0.944,0.889,0.333,2.5,0.25,667000,0.333,0.22,11.9221408398816,-15.2210127924423,11.9221671459558,-15.2209879831088,2.2064842652258e-06,1.62994238686216e-06,3.59644222983594e-12,-1.9008626299864e-05,9,NA,"tms_metrics_2_16.csv","summary_tms_9_metrics.csv"
"azimilide-chlorpromazine-diltiazem-droperidol-loratadine-nitrendipine-ondansetron-quinidine-sotalol-tamoxifen","0.875 (0.833 - 0.917)","1    (0.952 - 1   )","0.92 (0.84 - 0.92)","3.33 (3.33 - 3.33)","0.222 (0.222 - 0.222)","6.67e+05 (4.67 - 1e+06)","0.333 (1e-06 - 0.389)","0.295 (0.289 - 0.301)",0.833,0.952,0.84,3.33,0.222,4.67,0.389,0.301,0.917,1,0.32,3.33,0.222,1e+06,1e-06,0.105,11.7392574604954,-11.795939981589,11.7392812213867,-11.7959153698006,2.02404992925124e-06,2.08646702321464e-06,4.22311343072265e-12,-1.04649119521025e-05,10,0.566666666666667,"tms_metrics_2_17.csv","summary_tms_10_metrics.csv"
"azimilide-bepridil-chlorpromazine-diltiazem-droperidol-loratadine-nitrendipine-ondansetron-sotalol-tamoxifen","0.917 (0.917 - 0.958)","1    (0.81 - 1   )","0.92 (0.88 - 0.96)","3.33 (3.33 - 8.33e+05)","0.222 (0.167 - 0.222)","7    (3.5  - 1e+06)","1.17e-06 (1e-06 - 0.389)","0.256 (0.25 - 0.262)",0.917,0.81,0.88,3.33,0.222,3.5,0.389,0.262,0.958,0.905,0.24,3.33,0.222,4.67,0.389,0.1,9.43874533840313,-6.01737063410521,9.4387604621654,-6.01735569989228,1.60230385401428e-06,2.48185642960053e-06,3.97668812225906e-12,-1.24750740609991e-05,10,0.633333333333333,"tms_metrics_2_18.csv","summary_tms_10_metrics.csv"
"astemizole-azimilide-clozapine-diltiazem-metoprolol-quinidine-ranolazine-vandetanib","0.8  (0.6  - 0.935)","1    (1    - 1   )","0.895 (0.789 - 0.949)","2.4  (2.4  - 8e+05)","0.3  (0.195 - 0.3 )","1e+06 (1e+06 - 1e+06)","1e-06 (1e-06 - 1e-06)","0.238 (0.231 - 0.244)",0.6,1,0.789,2.4,0.3,1e+06,1e-06,0.244,0.867,1,0.316,2.4,0.3,1e+06,1e-06,0.13,5.3442784277102,-20.014074886293,5.34427845528503,-20.0140748591004,5.15969143172866e-09,1.35867411769445e-09,7.01033920357953e-18,-1.39024062506644e-05,8,NA,"tms_metrics_2_2.csv","summary_tms_8_metrics.csv"
"azimilide-bepridil-clozapine-diltiazem-dofetilide-metoprolol-ondansetron-risperidone","0.75 (0.5  - 1   )","1    (0.667 - 1   )","0.812 (0.625 - 1   )","1.67 (1.33 - 8.33e+05)","0.333 (2e-06 - 0.667)","6.67e+05 (3.33 - 1e+06)","1.25e-06 (1e-06 - 0.417)","0.347 (0.339 - 0.355)",0.5,0.667,0.625,1.33,0.667,3.33,0.417,0.355,0.667,0.667,0.312,1.33,0.667,3.33,0.417,0.228,2.68041176142194,-2.48915984995159,2.6804262221836,-2.48914563225983,5.39494858740247e-06,5.71187622794383e-06,3.08152785873634e-11,-3.48785695949846e-05,8,NA,"tms_metrics_2_20.csv","summary_tms_8_metrics.csv"
"azimilide-chlorpromazine-dofetilide-mexiletine-tamoxifen-terfenadine-vandetanib-verapamil","0.867 (0.867 - 0.867)","0.933 (0.933 - 1   )","0.923 (0.923 - 0.923)","8e+05 (2.4  - 8e+05)","0.2  (0.2  - 0.3 )","5    (3.33 - 1e+06)","1.25e-06 (1e-06 - 0.417)","0.317 (0.31 - 0.324)",0.867,0.933,0.923,2.4,0.3,3.33,0.417,0.324,0.933,1,0.154,2.4,0.3,1e+06,1e-06,0.0543,1.9848084212122,-2.06109755753454,1.98480841665402,-2.061097562306,2.2965336861959e-09,2.31500869774369e-09,5.31649545820489e-18,-8.03550471390223e-06,8,0.633333333333333,"tms_metrics_2_34.csv","summary_tms_8_metrics.csv"
"astemizole-azimilide-clozapine-diltiazem-metoprolol-quinidine-ranolazine-vandetanib","0.8  (0.667 - 1   )","1    (1    - 1   )","0.895 (0.789 - 1   )","2.4  (2.4  - 8e+05)","0.3  (1.5e-06 - 0.3 )","1e+06 (1e+06 - 1e+06)","1e-06 (1e-06 - 1e-06)","0.236 (0.23 - 0.243)",0.667,1,0.789,2.4,0.3,1e+06,1e-06,0.243,0.867,1,0.316,2.4,0.3,1e+06,1e-06,0.127,5.67815616507889,-20.5764364562378,5.67815618085753,-20.5764364407985,2.7788314265009e-09,7.50338243771366e-10,2.08506349229737e-18,-1.36458380964023e-05,8,NA,"tms_metrics_2_4.csv","summary_tms_8_metrics.csv"
"astemizole-azimilide-clozapine-diltiazem-metoprolol-quinidine-ranolazine-vandetanib","0.8  (0.667 - 1   )","1    (1    - 1   )","0.895 (0.789 - 1   )","2.4  (2.4  - 8e+05)","0.3  (1.5e-06 - 0.3 )","1e+06 (1e+06 - 1e+06)","1e-06 (1e-06 - 1e-06)","0.237 (0.23 - 0.243)",0.667,1,0.789,2.4,0.3,1e+06,1e-06,0.243,0.867,1,0.316,2.4,0.3,1e+06,1e-06,0.129,5.66827330551626,-20.6903862209903,5.6682733213455,-20.6903862052282,2.79260275618199e-09,7.61807962472423e-10,2.12742701568187e-18,-1.38328599485317e-05,8,NA,"tms_metrics_2_5.csv","summary_tms_8_metrics.csv"
