"drug_pair","AUC1","AUC2","Pairwise","LR1plus","LR1minus","LR2plus","LR2minus","Mean_error","AUC1_LOOCV","AUC2_LOOCV","Pairwise_LOOCV","LR1plus_LOOCV","LR1minus_LOOCV","LR2plus_LOOCV","LR2minus_LOOCV","Mean_error_LOOCV","AUC1_training","AUC2_training","Pairwise_training","LR1plus_training","LR1minus_training","LR2plus_training","LR2minus_training","Mean_error_training","Threshold1","Threshold2","Th1_ref","Th2_ref","Th1_changes","Th2_changes","Th_changes_overall","Normalized_logLik","number_of_drugs","Rank_score_LOOCV","Th1_changes_new","Th2_changes_new","loglike_rank","loglike_rank_new","distance","source_folder","calibration_file"
"astemizole-azimilide-bepridil-cisapride-diltiazem-dofetilide-nitrendipine-ranolazine-risperidone-verapamil","1    (0.958 - 1   )","1    (1    - 1   )","1    (0.955 - 1   )","8.33e+05 (8.33e+05 - 1e+06)","0.167 (1e-06 - 0.167)","1e+06 (7    - 1e+06)","1e-06 (1e-06 - 0.333)","0.0746 (0.0709 - 0.0782)",0.958,1,0.955,833000,0.167,7,0.333,0.0782,1,1,0.409,1e+06,1e-06,667000,1.17e-06,0.00476,17.7338297989017,-23.3196304265945,15.0470870900464,-31.9852132534167,0.178555669464592,0.270924653781902,0.0483751329304902,-9.12073632426492e-07,10,0.9,0.214829038573503,0.238812819382213,4,0.014018691588785,0.321526985227614,"results_get_calibration_drugs/tms_metrics_10_1.csv","calibration_drugs.csv"
"azimilide-chlorpromazine-diltiazem-dofetilide-droperidol-nitrendipine-tamoxifen-vandetanib","0.933 (0.8  - 1   )","1    (0.933 - 1   )","0.944 (0.889 - 1   )","3    (2.4  - 1e+06)","1.5e-06 (1e-06 - 0.3 )","1e+06 (5    - 1e+06)","1e-06 (1e-06 - 0.333)","0.207 (0.201 - 0.213)",0.8,0.933,0.889,2.4,0.3,5,0.333,0.213,1,1,0.278,3,0.2,1e+06,1e-06,0.0152,6.53553618411958,-8.28867236086201,6.49350219378763,-10.1160157835507,0.00647323879741928,0.180638648830508,0.00116931710992304,-2.44550096701132e-06,8,0.7,0.0040888400378586,0.000221956449367502,9,0.0249221183800623,0.0252562836155768,"results_get_calibration_drugs/tms_metrics_2_15.csv","calibration_drugs.csv"
"azimilide-bepridil-chlorpromazine-diltiazem-droperidol-nitrendipine-ondansetron-quinidine-ranolazine","1    (0.944 - 1   )","1    (1    - 1   )","1    (1    - 1   )","8.33e+05 (2.5  - 1e+06)","1.5e-06 (1e-06 - 0.25)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.105 (0.1  - 0.109)",0.944,1,1,2.5,0.25,667000,0.333,0.109,0.944,1,0.333,3,0.167,667000,0.333,0.0288,10.9097812097412,-12.9411518236092,11.8109348385337,-18.7111641087144,0.076298247438677,0.308372704743579,0.0235282969298597,-4.09215250383918e-06,9,0.8,0.18046439355502,0.305740376543462,62,0.203333333333333,0.409132032031914,"results_get_calibration_drugs/tms_metrics_2_16.csv","calibration_drugs.csv"
"azimilide-chlorpromazine-diltiazem-droperidol-loratadine-nitrendipine-ondansetron-quinidine-sotalol-tamoxifen","1    (0.917 - 1   )","1    (1    - 1   )","1    (0.92 - 1   )","8.33e+05 (3.33 - 1e+06)","1.33e-06 (1e-06 - 0.222)","1e+06 (7    - 1e+06)","1e-06 (1e-06 - 0.333)","0.0818 (0.078 - 0.0856)",0.917,1,0.92,3.33,0.222,7,0.333,0.0856,0.958,1,0.32,4,0.167,667000,0.333,0.025,9.68054326597609,-10.4707886955852,10.4981592632893,-14.4406651760241,0.0778818435506408,0.274909530277739,0.0214104610276711,-3.64445715928998e-06,10,0.8,0.196165350048707,0.0549155999500507,33,0.128,0.240583805933828,"results_get_calibration_drugs/tms_metrics_2_17.csv","calibration_drugs.csv"
"azimilide-bepridil-chlorpromazine-diltiazem-droperidol-loratadine-nitrendipine-ondansetron-sotalol-tamoxifen","1    (0.958 - 1   )","1    (0.952 - 1   )","1    (0.96 - 1   )","8.33e+05 (3.33 - 1e+06)","1.33e-06 (1e-06 - 0.222)","1e+06 (7    - 1e+06)","1e-06 (1e-06 - 0.333)","0.0815 (0.0777 - 0.0853)",0.958,0.952,0.96,3.33,0.222,7,0.333,0.0853,1,1,0.32,4,0.167,7,0.333,0.0196,7.91008237857445,-6.7687506053754,7.74490902069618,-8.73893278891794,0.0213267008607703,0.225448831239551,0.00480807978325619,-2.94120549506406e-06,10,0.8,0.0599938211549037,0.0165203961892085,12,0.0511627906976744,0.0805593769774135,"results_get_calibration_drugs/tms_metrics_2_18.csv","calibration_drugs.csv"
"astemizole-azimilide-clozapine-diltiazem-metoprolol-quinidine-ranolazine-vandetanib","1    (0.867 - 1   )","1    (0.933 - 1   )","0.947 (0.842 - 1   )","8e+05 (2.4  - 1e+06)","0.2  (1e-06 - 0.3 )","5    (3.33 - 1e+06)","1.25e-06 (1e-06 - 0.417)","0.238 (0.231 - 0.244)",0.867,0.933,0.842,2.4,0.3,3.33,0.417,0.244,0.933,1,0.316,3,0.2,5,0.333,0.038,11.7009239470651,-12.6742034063789,10.6777740725118,-18.9999279743047,0.0958205209817321,0.332934134091488,0.0319019221812482,-5.97957263294435e-06,8,0.633333333333333,0.329509296761657,0.301468386234893,31,0.24,0.507010418582728,"results_get_calibration_drugs/tms_metrics_2_2.csv","calibration_drugs.csv"
"azimilide-bepridil-clozapine-diltiazem-dofetilide-metoprolol-ondansetron-risperidone","1    (0.917 - 1   )","1    (0.933 - 1   )","1    (0.938 - 1   )","1e+06 (2    - 1e+06)","1e-06 (1e-06 - 0.167)","6.67e+05 (5    - 1e+06)","1.25e-06 (1e-06 - 0.333)","0.0789 (0.0748 - 0.0831)",0.917,0.933,0.938,2,0.167,5,0.333,0.0831,1,1,0.312,2,0.167,1e+06,1e-06,0.00972,4.27089348422464,-4.09223805968346,3.43422229868508,-5.6127708491692,0.243627556043741,0.270905909103845,0.0660001445527775,-2.18775192950723e-06,8,0.833333333333333,0.994971948140313,0.302407248262861,1,0,1.03991313165478,"results_get_calibration_drugs/tms_metrics_2_20.csv","calibration_drugs.csv"
"azimilide-chlorpromazine-dofetilide-mexiletine-tamoxifen-terfenadine-vandetanib-verapamil","1    (0.867 - 1   )","1    (0.933 - 1   )","1    (0.923 - 1   )","8e+05 (2.4  - 1e+06)","0.2  (1e-06 - 0.3 )","6.67e+05 (3.33 - 1e+06)","1.25e-06 (1e-06 - 0.417)","0.204 (0.197 - 0.21)",0.867,0.933,0.923,2.4,0.3,3.33,0.417,0.21,0.933,1,0.154,3,0.2,1e+06,1e-06,0.0205,1.86388781998294,-2.031781504237,1.62758063855562,-2.57263776340476,0.145189231076765,0.21023412890121,0.0305237315212603,-3.72906927857637e-06,8,0.7,0.415200350541789,0.0012164301108638,16,0.234375,0.476785540277008,"results_get_calibration_drugs/tms_metrics_2_34.csv","calibration_drugs.csv"
"astemizole-azimilide-clozapine-diltiazem-metoprolol-quinidine-ranolazine-vandetanib","1    (0.867 - 1   )","1    (0.933 - 1   )","0.947 (0.895 - 1   )","8e+05 (2.4  - 1e+06)","0.2  (1e-06 - 0.3 )","5    (3.33 - 1e+06)","1.25e-06 (1e-06 - 0.417)","0.224 (0.218 - 0.231)",0.867,0.933,0.895,2.4,0.3,3.33,0.417,0.231,0.933,1,0.316,3,0.2,667000,0.333,0.0351,12.0194112400373,-13.6737464811052,10.9947041707381,-19.8460195073982,0.0932000582631739,0.311008110416906,0.0289859740111753,-5.48873240586063e-06,8,0.633333333333333,0.316725820577374,0.301580259531502,31,0.24,0.498864609247338,"results_get_calibration_drugs/tms_metrics_2_4.csv","calibration_drugs.csv"
"astemizole-azimilide-clozapine-diltiazem-metoprolol-quinidine-ranolazine-vandetanib","1    (0.867 - 1   )","1    (0.933 - 1   )","0.947 (0.895 - 1   )","8e+05 (2.4  - 1e+06)","0.2  (1e-06 - 0.3 )","5    (3.33 - 1e+06)","1.25e-06 (1e-06 - 0.417)","0.217 (0.211 - 0.223)",0.867,0.933,0.895,2.4,0.3,3.33,0.417,0.223,0.933,1,0.316,3,0.2,667000,0.333,0.0346,12.0295066843702,-13.9496820249234,11.0349959909162,-19.9741775988598,0.0901233398066211,0.301614198838418,0.0271824789324166,-5.41286416201502e-06,8,0.633333333333333,0.300053989080678,0.289702563941464,31,0.24,0.481206787065068,"results_get_calibration_drugs/tms_metrics_2_5.csv","calibration_drugs.csv"
